title,description,handle,sku,price_pln,inventory,manufacturer,category,subcategory
"Pompa hydrauliczna Rexroth A100","Wysokiej jakości pompa hydrauliczna marki Rexroth. Model A100 zapewnia doskonałą wydajność i trwałość.","pompa-rexroth-a100","POMPYH-0001",4500,15,"Rexroth","Hydraulika","Pompy hydrauliczne"
"Pompa hydrauliczna Danfoss A101","Wysokiej jakości pompa hydrauliczna marki Danfoss. Model A101 zapewnia doskonałą wydajność i trwałość.","pompa-danfoss-a101","POMPYH-0002",4200,18,"Danfoss","Hydraulika","Pompy hydrauliczne"
"Pompa hydrauliczna Parker A102","Wysokiej jakości pompa hydrauliczna marki Parker. Model A102 zapewnia doskonałą wydajność i trwałość.","pompa-parker-a102","POMPYH-0003",3800,22,"Parker","Hydraulika","Pompy hydrauliczne"
"Pompa hydrauliczna Eaton A103","Wysokiej jakości pompa hydrauliczna marki Eaton. Model A103 zapewnia doskonałą wydajność i trwałość.","pompa-eaton-a103","POMPYH-0004",4100,12,"Eaton","Hydraulika","Pompy hydrauliczne"
"Pompa hydrauliczna Vickers A104","Wysokiej jakości pompa hydrauliczna marki Vickers. Model A104 zapewnia doskonałą wydajność i trwałość.","pompa-vickers-a104","POMPYH-0005",3900,25,"Vickers","Hydraulika","Pompy hydrauliczne"
"Silnik hydrauliczny Danfoss B100","Wysokiej jakości silnik hydrauliczny marki Danfoss. Model B100 zapewnia doskonałą wydajność i trwałość.","silnik-danfoss-b100","SILNIK-0001",1200,30,"Danfoss","Hydraulika","Silniki hydrauliczne"
"Silnik hydrauliczny Sauer B101","Wysokiej jakości silnik hydrauliczny marki Sauer. Model B101 zapewnia doskonałą wydajność i trwałość.","silnik-sauer-b101","SILNIK-0002",1350,28,"Sauer","Hydraulika","Silniki hydrauliczne"
"Silnik hydrauliczny Poclain B102","Wysokiej jakości silnik hydrauliczny marki Poclain. Model B102 zapewnia doskonałą wydajność i trwałość.","silnik-poclain-b102","SILNIK-0003",1280,20,"Poclain","Hydraulika","Silniki hydrauliczne"
"Zawór hydrauliczny Rexroth C100","Wysokiej jakości zawór hydrauliczny marki Rexroth. Model C100 zapewnia doskonałą wydajność i trwałość.","zawor-rexroth-c100","ZAWOR-0001",850,35,"Rexroth","Hydraulika","Zawory hydrauliczne"
"Zawór hydrauliczny Vickers C101","Wysokiej jakości zawór hydrauliczny marki Vickers. Model C101 zapewnia doskonałą wydajność i trwałość.","zawor-vickers-c101","ZAWOR-0002",920,32,"Vickers","Hydraulika","Zawory hydrauliczne"
"Filtr powietrza Mann F100","Wysokiej jakości filtr powietrza marki Mann. Model F100 zapewnia doskonałą wydajność i trwałość.","filtr-mann-f100","AIR-0001",150,50,"Mann","Filtry","Filtry powietrza"
"Filtr powietrza Donaldson F101","Wysokiej jakości filtr powietrza marki Donaldson. Model F101 zapewnia doskonałą wydajność i trwałość.","filtr-donaldson-f101","AIR-0002",180,45,"Donaldson","Filtry","Filtry powietrza"
"Filtr powietrza Fleetguard F102","Wysokiej jakości filtr powietrza marki Fleetguard. Model F102 zapewnia doskonałą wydajność i trwałość.","filtr-fleetguard-f102","AIR-0003",160,48,"Fleetguard","Filtry","Filtry powietrza"
"Filtr paliwa Mann G100","Wysokiej jakości filtr paliwa marki Mann. Model G100 zapewnia doskonałą wydajność i trwałość.","filtr-paliwa-mann-g100","FUEL-0001",120,55,"Mann","Filtry","Filtry paliwa"
"Filtr paliwa Bosch G101","Wysokiej jakości filtr paliwa marki Bosch. Model G101 zapewnia doskonałą wydajność i trwałość.","filtr-paliwa-bosch-g101","FUEL-0002",135,52,"Bosch","Filtry","Filtry paliwa"
"Silnik spalinowy Caterpillar S100","Wysokiej jakości silnik spalinowy marki Caterpillar. Model S100 zapewnia doskonałą wydajność i trwałość.","silnik-caterpillar-s100","ENG-0001",25000,5,"Caterpillar","Silniki","Silniki spalinowe"
"Silnik spalinowy Cummins S101","Wysokiej jakości silnik spalinowy marki Cummins. Model S101 zapewnia doskonałą wydajność i trwałość.","silnik-cummins-s101","ENG-0002",28000,4,"Cummins","Silniki","Silniki spalinowe"
"Turbosprężarka Caterpillar T100","Wysokiej jakości turbosprężarka marki Caterpillar. Model T100 zapewnia doskonałą wydajność i trwałość.","turbo-caterpillar-t100","TURBO-0001",3500,12,"Caterpillar","Silniki","Turbosprężarki"
"Gąsienica gumowa Berco G100","Wysokiej jakości gąsienica gumowa marki Berco. Model G100 zapewnia doskonałą wydajność i trwałość.","gasienica-berco-g100","TRACK-0001",8500,8,"Berco","Podwozia","Gąsienice gumowe"
"Alternator Bosch E100","Wysokiej jakości alternator marki Bosch. Model E100 zapewnia doskonałą wydajność i trwałość.","alternator-bosch-e100","ALT-0001",1200,25,"Bosch","Elektryka","Oświetlenie"
